"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 08 08:36:55 GMT 2025","Fri Aug 08 08:36:56 GMT 2025","638","","api.CreateAccountTest","","api.CreateAccountTest","userCanCreateAccountTest","User can create account",""
"passed","Fri Aug 08 08:36:56 GMT 2025","Fri Aug 08 08:36:56 GMT 2025","363","","api.CreateUserTest","","api.CreateUserTest","adminCanCreateUserWithCorrectDataTest","Admin can create user with correct data",""
"passed","Fri Aug 08 08:37:03 GMT 2025","Fri Aug 08 08:37:04 GMT 2025","678","","api.TransferMoneyUserTest","","api.TransferMoneyUserTest","userCannotTransferMoneyWithInvalidDataTest","User can not transfer money with invalid data [3] amount=10001.0, errorMessage=Transfer amount cannot exceed 10000",""
"passed","Fri Aug 08 08:37:01 GMT 2025","Fri Aug 08 08:37:02 GMT 2025","857","","api.TransferMoneyUserTest","","api.TransferMoneyUserTest","userCanTransferMoneyWithCorrectDataTest","User can transfer money with correct data",""
"passed","Fri Aug 08 08:36:57 GMT 2025","Fri Aug 08 08:36:57 GMT 2025","87","","api.LoginUserTest","","api.LoginUserTest","adminCanGenerateAuthTokenTest","Admin can generate auth token",""
"passed","Fri Aug 08 08:37:06 GMT 2025","Fri Aug 08 08:37:06 GMT 2025","509","","api.ChangeNameUserTest","","api.ChangeNameUserTest","userCanChangeNameWithValidDataTest","User can change name with valid data",""
"passed","Fri Aug 08 08:36:45 GMT 2025","Fri Aug 08 08:36:46 GMT 2025","1233","","ui.TransferMoneyUserTest","","ui.TransferMoneyUserTest","userCannotTransferMoneyWithInvalidData","User cannot transfer money with invalid data [5] amount=10000.0, recipientName=User, recipientAccountNumber=, expectedUiError=❌ Please fill all fields and confirm.",""
"passed","Fri Aug 08 08:36:24 GMT 2025","Fri Aug 08 08:36:24 GMT 2025","649","","ui.LoginUserTest","","ui.LoginUserTest","userCanLoginWithCorrectDataTest","userCanLoginWithCorrectDataTest()",""
"passed","Fri Aug 08 08:37:00 GMT 2025","Fri Aug 08 08:37:01 GMT 2025","592","","api.DepositUserTest","","api.DepositUserTest","userCanNotAddDepositWithIncorrectDataTest","User can not add deposit with incorrect data [3] balance=5001.0, errorMessage=Deposit amount exceeds the 5000 limit",""
"passed","Fri Aug 08 08:36:47 GMT 2025","Fri Aug 08 08:36:48 GMT 2025","1164","","ui.TransferMoneyUserTest","","ui.TransferMoneyUserTest","userCannotTransferMoneyWithInvalidData","User cannot transfer money with invalid data [7] amount=10000.0, recipientName=null, recipientAccountNumber=null, expectedUiError=❌ Please fill all fields and confirm.",""
"passed","Fri Aug 08 08:36:57 GMT 2025","Fri Aug 08 08:36:57 GMT 2025","331","","api.LoginUserTest","","api.LoginUserTest","userCanGenerateAuthTokenTest","User can generate auth token",""
"passed","Fri Aug 08 08:36:50 GMT 2025","Fri Aug 08 08:36:51 GMT 2025","1423","","ui.TransferMoneyUserTest","","ui.TransferMoneyUserTest","userCannotTransferMoneyWithInvalidData","User cannot transfer money with invalid data [9] amount=10000.0, recipientName=null, recipientAccountNumber=1234567890, expectedUiError=❌ No user found with this account number.",""
"passed","Fri Aug 08 08:36:54 GMT 2025","Fri Aug 08 08:36:55 GMT 2025","761","","api.CreateAccountTest","","api.CreateAccountTest","userCanGetAllAccountsTest","User can get all accounts",""
"passed","Fri Aug 08 08:36:56 GMT 2025","Fri Aug 08 08:36:56 GMT 2025","256","","api.CreateUserTest","","api.CreateUserTest","adminCanCreateUserAndGetSuccessfulResponseTest","Admin can create user and get successful response",""
"passed","Fri Aug 08 08:36:57 GMT 2025","Fri Aug 08 08:36:58 GMT 2025","506","","api.DepositUserTest","","api.DepositUserTest","userCanAddDepositWithCorrectDataTest","User can add deposit with correct data [1] balance=1.0",""
"passed","Fri Aug 08 08:36:24 GMT 2025","Fri Aug 08 08:36:25 GMT 2025","410","","ui.LoginUserTest","","ui.LoginUserTest","adminCanLoginWithCorrectDataTest","adminCanLoginWithCorrectDataTest()",""
"passed","Fri Aug 08 08:36:31 GMT 2025","Fri Aug 08 08:36:33 GMT 2025","2124","","ui.DepositUserTest","","ui.DepositUserTest","userCanAddDepositWithValidAmount","User can add deposit with valid amount [1] amount=1.0",""
"passed","Fri Aug 08 08:36:33 GMT 2025","Fri Aug 08 08:36:34 GMT 2025","1522","","ui.DepositUserTest","","ui.DepositUserTest","userCanAddDepositWithValidAmount","User can add deposit with valid amount [2] amount=100.0",""
"passed","Fri Aug 08 08:36:58 GMT 2025","Fri Aug 08 08:36:59 GMT 2025","502","","api.DepositUserTest","","api.DepositUserTest","userCanAddDepositWithCorrectDataTest","User can add deposit with correct data [3] balance=50.5",""
"passed","Fri Aug 08 08:37:04 GMT 2025","Fri Aug 08 08:37:04 GMT 2025","418","","api.ChangeNameUserTest","","api.ChangeNameUserTest","userCannotChangeNameWithInvalidDataTest","User can not change name with invalid data [1] name=AB, expectedErrorMessage=Name must contain two words with letters only",""
"passed","Fri Aug 08 08:37:05 GMT 2025","Fri Aug 08 08:37:05 GMT 2025","411","","api.ChangeNameUserTest","","api.ChangeNameUserTest","userCannotChangeNameWithInvalidDataTest","User can not change name with invalid data [3] name=Invalid Name!@#$, expectedErrorMessage=Name must contain two words with letters only",""
"passed","Fri Aug 08 08:36:57 GMT 2025","Fri Aug 08 08:36:57 GMT 2025","98","","api.CreateUserTest","","api.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest","Admin can not create user with invalid data [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValue=Username must contain only letters, digits, dashes, underscores, and dots",""
"passed","Fri Aug 08 08:36:36 GMT 2025","Fri Aug 08 08:36:37 GMT 2025","1368","","ui.DepositUserTest","","ui.DepositUserTest","userCanAddDepositWithValidAmount","User can add deposit with valid amount [4] amount=5000.0",""
"passed","Fri Aug 08 08:36:40 GMT 2025","Fri Aug 08 08:36:42 GMT 2025","1198","","ui.TransferMoneyUserTest","","ui.TransferMoneyUserTest","userCannotTransferMoneyWithInvalidData","User cannot transfer money with invalid data [2] amount=10000.0, recipientName=, recipientAccountNumber=, expectedUiError=❌ Please fill all fields and confirm.",""
"passed","Fri Aug 08 08:36:25 GMT 2025","Fri Aug 08 08:36:27 GMT 2025","2145","","ui.DepositUserTest","","ui.DepositUserTest","userCanDepositTwiceWithSameAmountAndBalanceIsCorrect","User can deposit twice with the same amount and balance is correct",""
